id_registro,nivel_territorial,pais,codigo_iso_pais,departamento_region,ciudad_municipio,tipo_plataforma,categoria_servicio,plataforma_principal,edad,genero,nivel_educativo,antiguedad_meses,horas_semanales,ingreso_bruto_mensual_cop,costos_operativos_mensuales_cop,ingreso_neto_mensual_cop,ingreso_neto_hora_usd,dependencia_ingresos,afiliacion_salud,afiliacion_pension,cuenta_con_arl,calificacion_promedio_app,fecha_registro,anio,mes,fuente_origen_id
GIG-00001,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,Mensajeros Urbanos,39,Masculino,Secundaria / Bachillerato,11,59.0,1899500,628700,1270800,1.23,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),5.0,2024-12-14,2024,12,F-SEC-01
GIG-00002,Global,Brasil,BRA,Sao Paulo,Sao Paulo,En linea / Basada en la Nube,Desarrollo de Software y TI,Toptal,29,Masculino,Universitario,20,17.4,5186100,622300,4563700,14.96,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.78,2021-04-18,2021,4,F-PRIM-02
GIG-00003,Nacional,Colombia,COL,Santander,Bucaramanga,En linea / Basada en la Nube,Diseno Multimedia y Contenido,99designs,21,Femenino,Tecnico / Tecnologo,4,28.6,3524400,612100,2912400,5.81,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.67,2025-10-07,2025,10,F-SEC-02
GIG-00004,Nacional,Colombia,COL,Atlantico,Barranquilla,Fisica / Basada en Ubicacion,Transporte de Pasajeros,Uber,36,Femenino,Secundaria / Bachillerato,17,80.4,1807300,773500,1033800,0.73,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.76,2023-04-12,2023,4,F-PRIM-01
GIG-00005,Global,Brasil,BRA,Sao Paulo,Sao Paulo,Fisica / Basada en Ubicacion,Reparto y Domicilios,Rappi,43,Masculino,Secundaria / Bachillerato,7,45.7,5966200,1909200,4057000,5.06,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.92,2021-01-21,2021,1,F-TER-02
GIG-00006,Global,Mexico,MEX,Ciudad de Mexico,Ciudad de Mexico,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Upwork,20,Masculino,Secundaria / Bachillerato,11,18.4,3072300,368700,2703600,8.38,Fuente principal (>50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.89,2023-01-28,2023,1,F-TER-01
GIG-00007,Global,Mexico,MEX,Ciudad de Mexico,Ciudad de Mexico,En linea / Basada en la Nube,Desarrollo de Software y TI,Fiverr,19,Femenino,Secundaria / Bachillerato,22,29.7,11502000,1380200,10121800,19.43,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,Si (Afiliado a Riesgos Laborales),4.96,2025-02-17,2025,2,F-TER-01
GIG-00008,Regional,Colombia,COL,Valle del Cauca,Cali,Fisica / Basada en Ubicacion,Reparto y Domicilios,PedidosYa,32,Masculino,Secundaria / Bachillerato,4,44.1,2080700,563500,1517200,1.96,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.91,2026-04-14,2026,4,F-SEC-02
GIG-00009,Regional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Transporte de Pasajeros,Cabify,26,Femenino,Primaria,16,62.3,2810500,1331600,1478900,1.35,Fuente principal (>50%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.93,2023-08-20,2023,8,F-SEC-01
GIG-00010,Global,Mexico,MEX,Ciudad de Mexico,Ciudad de Mexico,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Fiverr,27,Femenino,Universitario,22,39.1,7097800,851700,6246100,9.11,Fuente principal (>50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.62,2025-06-07,2025,6,F-TER-02
GIG-00011,Regional,Colombia,COL,Bogota D.C.,Bogota,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Workana,29,Masculino,Tecnico / Tecnologo,40,46.4,3399800,452600,2947200,3.62,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.84,2021-07-01,2021,7,F-SEC-02
GIG-00012,Regional,Colombia,COL,Risaralda,Pereira,Fisica / Basada en Ubicacion,Reparto y Domicilios,DiDi Food,31,Masculino,Secundaria / Bachillerato,42,58.8,1697800,555100,1142700,1.11,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.96,2021-06-04,2021,6,F-SEC-01
GIG-00013,Regional,Colombia,COL,Santander,Bucaramanga,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Workana,28,Masculino,Universitario,44,28.8,4294400,401200,3893200,7.71,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,Si (Afiliado a Riesgos Laborales),4.94,2022-07-09,2022,7,F-SEC-01
GIG-00014,Global,India,IND,Karnataka,Bengaluru,Fisica / Basada en Ubicacion,Reparto y Domicilios,iFood,39,Masculino,Universitario,2,55.5,4094100,1310100,2784000,2.86,Fuente principal (>50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.99,2024-02-20,2024,2,F-PRIM-02
GIG-00015,Regional,Colombia,COL,Bolivar,Cartagena,Fisica / Basada en Ubicacion,Reparto y Domicilios,Rappi,36,Masculino,Secundaria / Bachillerato,24,47.6,1939700,634100,1305600,1.56,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.93,2021-08-24,2021,8,F-PRIM-01
GIG-00016,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,iFood,26,Masculino,Tecnico / Tecnologo,3,52.9,1732300,495400,1237000,1.33,Fuente principal (>50%),No afiliado / Ninguno,No cotiza,No (Sin cobertura ARL),4.82,2024-01-18,2024,1,F-PRIM-01
GIG-00017,Nacional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,iFood,43,Masculino,Tecnico / Tecnologo,9,56.3,1837500,672400,1165100,1.18,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.48,2026-04-24,2026,4,F-PRIM-01
GIG-00018,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Transporte de Pasajeros,InDrive,31,Masculino,Secundaria / Bachillerato,17,64.1,2495700,1011900,1483800,1.32,Fuente principal (>50%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.81,2022-01-06,2022,1,F-SEC-02
GIG-00019,Global,Argentina,ARG,Buenos Aires,Buenos Aires,Fisica / Basada en Ubicacion,Transporte de Pasajeros,Cabify,34,Masculino,Secundaria / Bachillerato,18,36.5,4422300,1415100,3007100,4.7,Fuente complementaria / Secundaria (<50%),No afiliado / Ninguno,No cotiza,No (Sin cobertura ARL),4.67,2026-05-18,2026,5,F-PRIM-02
GIG-00020,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Transporte de Pasajeros,Cabify,20,Masculino,Universitario,13,39.3,2823600,1180100,1643500,2.38,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.65,2023-08-24,2023,8,F-SEC-02
GIG-00021,Global,Estados Unidos,USA,California,San Francisco,Fisica / Basada en Ubicacion,Reparto y Domicilios,Mensajeros Urbanos,23,No binario / Otro,Secundaria / Bachillerato,15,76.6,43597500,13951200,29646300,22.07,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.93,2024-08-12,2024,8,F-PRIM-02
GIG-00022,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,DiDi Food,26,Masculino,Secundaria / Bachillerato,4,46.2,1598200,538800,1059400,1.31,Fuente principal (>50%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.83,2023-05-25,2023,5,F-SEC-02
GIG-00023,Nacional,Colombia,COL,Bogota D.C.,Bogota,En linea / Basada en la Nube,Diseno Multimedia y Contenido,99designs,35,Femenino,Universitario,49,34.4,1868400,251500,1616900,2.68,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),Cotiza activamente,Si (Afiliado a Riesgos Laborales),4.38,2021-12-19,2021,12,F-SEC-02
GIG-00024,Global,India,IND,Karnataka,Bengaluru,En linea / Basada en la Nube,Diseno Multimedia y Contenido,99designs,34,Femenino,Universitario,32,44.5,5077700,609300,4468400,5.73,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,Si (Afiliado a Riesgos Laborales),4.98,2021-04-07,2021,4,F-TER-01
GIG-00025,Global,Brasil,BRA,Sao Paulo,Sao Paulo,Fisica / Basada en Ubicacion,Transporte de Pasajeros,DiDi,36,Masculino,Secundaria / Bachillerato,4,65.2,6870800,2198700,4672100,4.09,Unica fuente de ingresos (100%),No afiliado / Ninguno,No cotiza,No (Sin cobertura ARL),4.65,2024-04-08,2024,4,F-TER-02
GIG-00026,Global,Mexico,MEX,Ciudad de Mexico,Ciudad de Mexico,En linea / Basada en la Nube,Desarrollo de Software y TI,Freelancer,26,Masculino,Universitario,2,43.2,20390000,2446800,17943200,23.68,Fuente principal (>50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.41,2021-08-19,2021,8,F-TER-02
GIG-00027,Nacional,Colombia,COL,Antioquia,Medellin,Fisica / Basada en Ubicacion,Transporte de Pasajeros,InDrive,22,Masculino,Universitario,27,54.6,2231800,1005900,1225900,1.28,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.75,2022-12-04,2022,12,F-SEC-01
GIG-00028,Global,Brasil,BRA,Sao Paulo,Sao Paulo,En linea / Basada en la Nube,Desarrollo de Software y TI,Workana,21,Femenino,Tecnico / Tecnologo,1,54.0,24736600,2968400,21768200,22.99,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.84,2021-07-24,2021,7,F-TER-01
GIG-00029,Regional,Colombia,COL,Valle del Cauca,Cali,Fisica / Basada en Ubicacion,Reparto y Domicilios,iFood,19,Masculino,Tecnico / Tecnologo,5,61.5,1648300,440000,1208300,1.12,Unica fuente de ingresos (100%),Regimen Subsidiado,No cotiza,No (Sin cobertura ARL),4.95,2025-02-06,2025,2,F-SEC-01
GIG-00030,Regional,Colombia,COL,Caldas,Manizales,En linea / Basada en la Nube,Desarrollo de Software y TI,Workana,32,Masculino,Secundaria / Bachillerato,58,25.0,5127300,693900,4433400,10.11,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.76,2023-07-06,2023,7,F-SEC-02
GIG-00031,Global,Mexico,MEX,Ciudad de Mexico,Ciudad de Mexico,En linea / Basada en la Nube,Desarrollo de Software y TI,Upwork,26,Femenino,Secundaria / Bachillerato,2,36.6,11287100,1354500,9932600,15.48,Fuente principal (>50%),No afiliado / Ninguno,Cotiza activamente,No (Sin cobertura ARL),4.93,2023-07-26,2023,7,F-TER-02
GIG-00032,Global,Argentina,ARG,Buenos Aires,Buenos Aires,Fisica / Basada en Ubicacion,Reparto y Domicilios,Rappi,21,Femenino,Secundaria / Bachillerato,3,40.0,5508400,1762700,3745700,5.34,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,Si (Afiliado a Riesgos Laborales),4.9,2025-01-01,2025,1,F-PRIM-02
