id_registro,nivel_territorial,pais,codigo_iso_pais,departamento_region,ciudad_municipio,tipo_plataforma,categoria_servicio,plataforma_principal,edad,genero,nivel_educativo,antiguedad_meses,horas_semanales,ingreso_bruto_mensual_cop,costos_operativos_mensuales_cop,ingreso_neto_mensual_cop,ingreso_neto_hora_usd,dependencia_ingresos,afiliacion_salud,afiliacion_pension,cuenta_con_arl,calificacion_promedio_app,fecha_registro,anio,mes,fuente_origen_id
GIG-00001,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,Mensajeros Urbanos,39,Masculino,Secundaria / Bachillerato,11,59.0,1899500,628700,1270800,1.23,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),5.0,2024-12-14,2024,12,F-SEC-01
GIG-00002,Global,Espana,ESP,Madrid,Madrid,En linea / Basada en la Nube,Diseno Multimedia y Contenido,99designs,29,Masculino,Tecnico / Tecnologo,7,17.5,7162300,859500,6302800,20.54,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.91,2025-09-19,2025,9,F-TER-01
GIG-00003,Regional,Colombia,COL,Atlantico,Barranquilla,Fisica / Basada en Ubicacion,Transporte de Pasajeros,DiDi,19,Masculino,Tecnico / Tecnologo,1,53.9,2487400,1004000,1483400,1.57,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.95,2023-04-05,2023,4,F-SEC-01
GIG-00004,Regional,Colombia,COL,Caldas,Manizales,Fisica / Basada en Ubicacion,Reparto y Domicilios,Rappi,35,Masculino,Tecnico / Tecnologo,14,47.2,1266800,387000,879800,1.06,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.41,2022-12-12,2022,12,F-SEC-01
GIG-00005,Global,Estados Unidos,USA,California,San Francisco,En linea / Basada en la Nube,Desarrollo de Software y TI,Fiverr,35,Femenino,Secundaria / Bachillerato,24,35.1,22405400,2688600,19716800,32.03,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.52,2021-07-09,2021,7,F-TER-01
GIG-00006,Global,Brasil,BRA,Sao Paulo,Sao Paulo,Fisica / Basada en Ubicacion,Reparto y Domicilios,DiDi Food,21,Femenino,Tecnico / Tecnologo,8,45.5,6322600,2023200,4299400,5.39,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),Cotiza activamente,Si (Afiliado a Riesgos Laborales),5.0,2021-05-15,2021,5,F-TER-02
GIG-00007,Global,Brasil,BRA,Sao Paulo,Sao Paulo,En linea / Basada en la Nube,Diseno Multimedia y Contenido,99designs,19,Masculino,Universitario,17,29.7,6752400,810300,5942100,11.41,Fuente principal (>50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.66,2021-08-26,2021,8,F-PRIM-02
GIG-00008,Global,Mexico,MEX,Ciudad de Mexico,Ciudad de Mexico,En linea / Basada en la Nube,Diseno Multimedia y Contenido,Fiverr,30,Femenino,Universitario,22,39.1,7097800,851700,6246100,9.11,Fuente principal (>50%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.62,2025-06-07,2025,6,F-TER-02
GIG-00009,Nacional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Reparto y Domicilios,Mensajeros Urbanos,32,Masculino,Universitario,14,59.2,1767500,591300,1176200,1.13,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.86,2023-12-21,2023,12,F-SEC-01
GIG-00010,Global,India,IND,Karnataka,Bengaluru,Fisica / Basada en Ubicacion,Reparto y Domicilios,Mensajeros Urbanos,35,Masculino,Secundaria / Bachillerato,43,52.4,5289300,1692600,3596700,3.91,Fuente principal (>50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),5.0,2022-09-20,2022,9,F-TER-02
GIG-00011,Regional,Colombia,COL,Bogota D.C.,Bogota,Fisica / Basada en Ubicacion,Transporte de Pasajeros,InDrive,25,Femenino,Primaria,16,52.2,3043300,1237700,1805600,1.97,Unica fuente de ingresos (100%),No afiliado / Ninguno,No cotiza,No (Sin cobertura ARL),4.51,2021-09-01,2021,9,F-PRIM-01
GIG-00012,Global,Estados Unidos,USA,California,San Francisco,En linea / Basada en la Nube,Microtareas y Etiquetado de Datos,Appen,27,Masculino,Tecnico / Tecnologo,34,50.0,27716500,3326000,24390500,27.82,Unica fuente de ingresos (100%),Regimen Contributivo (Cotizante),No cotiza,No (Sin cobertura ARL),4.65,2021-08-24,2021,8,F-PRIM-02
GIG-00013,Global,Brasil,BRA,Sao Paulo,Sao Paulo,En linea / Basada en la Nube,Microtareas y Etiquetado de Datos,Remotasks,36,Masculino,Universitario,16,43.1,10559000,1267100,9291900,12.29,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),No cotiza,Si (Afiliado a Riesgos Laborales),4.44,2024-06-09,2024,6,F-TER-01
GIG-00014,Global,Chile,CHL,Santiago,Santiago,En linea / Basada en la Nube,Servicios Profesionales y Asesoria,Workana,27,Masculino,Secundaria / Bachillerato,6,28.7,12031300,1443800,10587500,21.04,Fuente complementaria / Secundaria (<50%),Regimen Contributivo (Cotizante),Cotiza activamente,No (Sin cobertura ARL),4.95,2026-04-24,2026,4,F-TER-01
